hogar,cluster,estrategia,algoritmo,hour,0,1,2,3,4
RFM,0.0,dia_domingo,GMM_k3,,,,,,
RTF,1.0,dia_domingo,GMM_k3,,,,,,
,,dia_domingo,GMM_k3_profile,0,0.1148308823529411,0.1849607843137254,0.3770980392156862,,
,,dia_domingo,GMM_k3_profile,1,0.0978125,0.1481153846153846,0.4161538461538461,,
,,dia_domingo,GMM_k3_profile,2,0.091943396226415,0.1243066037735849,0.3270943396226415,,
,,dia_domingo,GMM_k3_profile,3,0.0891586538461538,0.1164014423076923,0.2554423076923077,,
,,dia_domingo,GMM_k3_profile,4,0.0866033653846153,0.1071274038461538,0.1757115384615384,,
,,dia_domingo,GMM_k3_profile,5,0.0837115384615384,0.1118004807692307,0.1327499999999999,,
,,dia_domingo,GMM_k3_profile,6,0.0956346153846153,0.1210432692307692,0.14825,,
,,dia_domingo,GMM_k3_profile,7,0.110875,0.1709615384615384,0.1773846153846154,,
,,dia_domingo,GMM_k3_profile,8,0.1432475961538461,0.2421374999999997,0.2606730769230769,,
,,dia_domingo,GMM_k3_profile,9,0.1643076923076923,0.3442579326923073,0.3328846153846153,,
,,dia_domingo,GMM_k3_profile,10,0.1838846153846154,0.4159598557692304,0.3866538461538462,,
,,dia_domingo,GMM_k3_profile,11,0.1811778846153846,0.4433374999999995,0.3345384615384615,,
,,dia_domingo,GMM_k3_profile,12,0.2146033653846153,0.4685995192307687,0.2565961538461538,,
,,dia_domingo,GMM_k3_profile,13,0.2445312499999999,0.543611538461538,0.3365961538461538,,
,,dia_domingo,GMM_k3_profile,14,0.24603125,0.439043990384615,0.4145961538461539,,
,,dia_domingo,GMM_k3_profile,15,0.2019543269230769,0.370055769230769,0.4218076923076923,,
,,dia_domingo,GMM_k3_profile,16,0.1906490384615384,0.3573658653846152,0.2337499999999999,,
,,dia_domingo,GMM_k3_profile,17,0.1954278846153846,0.3727235576923077,0.3099423076923077,,
,,dia_domingo,GMM_k3_profile,18,0.2187572115384615,0.41659375,0.3638653846153846,,
,,dia_domingo,GMM_k3_profile,19,0.2463028846153846,0.4822764423076923,0.3531346153846154,,
,,dia_domingo,GMM_k3_profile,20,0.2538822115384615,0.5115144230769231,0.3666730769230769,,
,,dia_domingo,GMM_k3_profile,21,0.2123365384615384,0.455639423076923,0.5603076923076923,,
